300,São Lourenço da Serra
301,São Manuel
302,São Miguel Arcanjo
303,São Paulo
304,São Pedro
305,São Roque
306,São Sebastião
307,São Vicente
308,Tabapuã
309,Tabatinga
310,Taboão da Serra
311,Taiaçu
312,Tambaú
313,Tapiraí
314,Taquaritinga
315,Taquarituba
316,Tarabai
317,Tatuí
318,Taubaté
319,Teodoro Sampaio
320,Tietê
321,Tremembé
322,Tuiuti
323,Tupi Paulista
324,Tupã
325,Ubatuba
326,Valentim Gentil
327,Valinhos
328,Valparaíso
329,Vargem Grande Paulista
330,Vera Cruz
331,Vinhedo
332,Votorantim
333,Votuporanga
334,Várzea Paulista
335,Águas da Prata
336,Águas de Lindóia
337,Álvares Machado
