,Unnamed: 0,NO_MUNICIPIO_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,IN_TREINEIRO,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006,Q027,Mean_notes
169053,1372049,Ferraz de Vasconcelos,19.0,M,3,1,2,1,0,,653.3,629.3,590.9,501.8,620.0,3748,D,599.0600000000001
89446,687158,Cotia,18.0,M,0,1,1,1,0,,634.8,672.8,640.7,835.7,760.0,5622,A,708.8
525697,4557893,São Paulo,16.0,M,1,3,0,1,1,,603.9,626.9,560.0,706.6,600.0,20000,D,619.48
148901,1215696,São Paulo,27.0,M,3,1,10,1,0,,411.6,382.8,529.4,453.4,440.0,1405,A,443.44000000000005
530206,4595491,Itaquaquecetuba,17.0,M,2,2,0,2,0,2.0,590.1,542.3,544.6,565.5,540.0,1874,A,556.5
16069,137761,São Carlos,17.0,F,1,2,0,3,0,4.0,601.8,647.7,616.0,646.6,780.0,18740,D,658.42
137064,1121772,Olímpia,22.0,M,1,1,5,1,0,,619.5,591.7,493.8,474.5,620.0,2811,A,559.9
290317,2452890,São Paulo,46.0,F,3,1,11,1,0,,575.8,608.0,560.1,501.7,700.0,5622,A,589.12
458847,3901690,Suzano,21.0,F,1,1,4,1,0,,509.9,491.0,526.5,368.9,560.0,2811,A,491.26000000000005
473339,4023254,Cubatão,17.0,M,2,2,0,2,0,2.0,487.1,482.4,571.4,638.2,620.0,937,A,559.82
229596,1901340,Mauá,26.0,F,1,1,8,1,0,,503.8,590.8,573.4,541.0,680.0,1874,A,577.8
515009,4463896,Itaberá,16.0,F,1,3,0,1,1,,600.5,533.4,577.1,380.3,320.0,14055,D,482.26000000000005
393119,3301690,Boituva,30.0,F,3,1,11,1,0,,557.4,636.2,602.4,609.4,580.0,1874,A,597.08
39799,321226,São José do Rio Preto,17.0,F,1,2,0,3,0,4.0,590.0,597.0,562.2,577.7,720.0,1405,E,609.38
