,Unnamed: 0,NO_MUNICIPIO_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,IN_TREINEIRO,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006,Q027,Mean_notes
47756,382027,São Paulo,20.0,M,1,1,3,1,0,,709.0,674.7,599.5,746.6,760.0,5622,D,697.96
69357,538029,São José dos Campos,16.0,F,1,3,0,1,1,,519.9,564.8,531.0,694.4,700.0,6599,D,602.02
321353,2731660,São José dos Campos,17.0,F,4,2,0,3,0,4.0,613.0,571.1,556.4,619.0,840.0,1405,E,639.9
509825,4415551,Atibaia,17.0,F,1,2,0,2,0,2.0,501.0,566.7,518.1,527.8,520.0,4685,A,526.72
602395,5397118,Embu-Guaçu,19.0,M,1,1,2,1,0,,462.0,557.3,533.8,583.5,600.0,2342,A,547.3199999999999
487859,4192416,Santa Isabel,25.0,F,2,1,7,1,0,,423.5,395.0,500.8,439.8,400.0,937,A,431.82
221169,1836802,Pilar do Sul,17.0,F,4,2,0,2,0,2.0,527.1,546.4,587.7,544.2,620.0,3748,A,565.08
606085,5443078,Borborema,27.0,M,1,1,10,1,0,,486.3,577.3,568.1,542.1,640.0,2811,A,562.76
259213,2178853,São Paulo,21.0,M,4,1,3,1,0,,462.8,413.4,360.8,467.5,460.0,1874,A,432.9
530893,4600584,Ribeirão Preto,31.0,M,3,1,11,1,0,,594.9,598.2,571.9,647.6,680.0,4685,A,618.52
543898,4771414,Rio Claro,17.0,F,1,2,0,2,0,2.0,415.4,373.8,349.5,513.5,500.0,1874,A,430.43999999999994
243446,2037485,São Paulo,19.0,F,3,1,2,1,0,,534.9,555.3,531.0,586.6,640.0,1405,A,569.56
511944,4435995,Ribeirão Preto,16.0,F,1,3,0,1,1,,585.2,573.3,592.3,499.3,700.0,1874,E,590.02
17457,148441,Mauá,21.0,M,1,1,3,1,0,,575.4,591.5,539.3,617.8,460.0,1874,A,556.8
601295,5386729,São Paulo,19.0,M,1,1,2,1,0,,557.9,610.3,564.7,601.5,620.0,2342,A,590.8799999999999
592181,5297320,Americana,17.0,F,3,2,0,3,0,4.0,560.9,536.9,538.8,533.4,420.0,6599,D,518.0
509687,4414148,São Paulo,33.0,M,2,1,11,1,0,,426.8,559.3,488.8,393.4,500.0,2811,A,473.65999999999997
309514,2628502,São Paulo,16.0,F,1,3,0,1,1,,474.4,523.7,592.7,544.2,720.0,3748,D,571.0
355459,2981210,Votorantim,17.0,M,3,2,0,2,0,2.0,416.2,483.7,420.1,497.3,460.0,1874,A,455.46000000000004
622497,5693334,Pindamonhangaba,34.0,M,0,1,11,1,0,,604.5,593.7,581.7,614.9,560.0,3748,A,590.96
157840,1285977,Diadema,27.0,F,2,1,9,1,0,,571.6,587.3,561.7,646.2,720.0,3748,A,617.36
370901,3105414,São Paulo,20.0,F,1,1,3,1,0,,564.3,562.1,464.3,523.8,580.0,11244,D,538.9
246557,2065142,Ribeira,17.0,M,1,2,0,2,0,2.0,543.3,468.1,475.6,524.9,600.0,937,A,522.38
614217,5582082,São Bernardo do Campo,24.0,F,3,1,7,1,0,,513.0,525.8,490.5,550.3,340.0,2811,A,483.91999999999996
13951,118599,Diadema,31.0,F,1,1,10,1,0,,450.4,470.5,494.2,484.7,280.0,937,A,435.96000000000004
320916,2728399,Salto,20.0,M,1,1,2,1,0,,491.4,489.3,504.9,443.4,600.0,1874,A,505.8
176647,1437348,Santo André,17.0,F,1,2,0,2,0,2.0,569.9,621.6,637.0,601.7,760.0,1405,A,638.04
576814,5134778,Sorocaba,19.0,F,1,1,2,1,0,,511.3,600.8,513.2,406.6,700.0,6599,D,546.38
430091,3637341,Palmares Paulista,21.0,F,3,1,2,1,0,,460.3,435.8,439.9,506.9,340.0,937,A,436.58000000000004
55402,435997,São Simão,21.0,M,2,1,3,1,0,,472.8,499.6,551.9,582.9,540.0,1405,A,529.44
495830,4274008,São José do Rio Preto,19.0,M,1,1,1,1,0,,618.1,620.0,522.7,763.1,600.0,20000,D,624.78
315266,2681477,Jacareí,20.0,M,1,1,3,1,0,,508.1,631.7,609.1,497.8,660.0,1874,A,581.34
91435,703799,Osasco,39.0,F,1,1,11,1,0,,426.4,427.2,535.5,417.0,440.0,2342,A,449.21999999999997
246484,2064358,Avaré,18.0,F,3,1,1,1,0,,597.9,572.2,547.9,477.2,540.0,2342,A,547.04
443578,3766161,São José dos Campos,17.0,M,2,2,0,2,0,2.0,527.4,418.3,523.3,418.7,620.0,1874,A,501.53999999999996
236139,1960466,Marília,17.0,F,1,2,0,3,0,4.0,529.5,619.6,570.7,734.5,620.0,8433,D,614.86
458287,3896797,São Paulo,19.0,F,1,1,2,1,0,,436.4,514.5,531.3,432.5,580.0,2342,A,498.93999999999994
550292,4840761,São Paulo,16.0,F,3,3,0,1,1,,430.8,442.3,516.9,460.2,540.0,1874,D,478.03999999999996
305344,2590816,São Caetano do Sul,18.0,F,3,1,1,1,0,,651.3,680.3,611.6,696.6,720.0,9370,D,671.9599999999999
465720,3959689,São Sebastião,18.0,M,3,1,1,1,0,,448.3,566.9,514.9,595.8,520.0,1874,A,529.18
618329,5640936,São Vicente,44.0,F,3,1,4,1,0,,484.9,511.1,520.7,393.6,560.0,1405,A,494.06000000000006
83693,643289,Jundiaí,18.0,F,1,1,1,1,0,,652.4,627.4,605.5,790.6,700.0,11244,D,675.1800000000001
8783,74397,Barueri,17.0,M,3,3,0,1,1,,409.7,486.5,552.9,454.1,580.0,3748,A,496.64
304382,2582482,São Paulo,20.0,F,1,1,2,1,0,,485.2,561.5,566.6,640.8,640.0,3748,A,578.82
363620,3030275,São José dos Campos,22.0,F,1,2,0,2,0,2.0,543.3,525.6,587.2,552.8,520.0,1874,A,545.78
304842,2586243,Sorocaba,19.0,F,3,2,0,2,0,2.0,406.6,567.4,508.0,542.2,600.0,5622,A,524.8399999999999
105052,824538,Dumont,21.0,F,1,1,4,1,0,,550.6,535.1,505.3,429.2,680.0,1405,A,540.04
349190,2942227,Guarulhos,17.0,M,3,2,0,2,0,2.0,548.7,604.0,606.0,608.4,600.0,2342,A,593.42
317406,2700910,São Paulo,24.0,M,3,1,7,1,0,,506.5,575.1,548.7,623.2,520.0,1405,A,554.7
47932,383192,Jardinópolis,17.0,M,3,2,0,2,0,2.0,535.6,609.3,552.0,500.8,480.0,937,A,535.5400000000001
404504,3393304,Ipuã,18.0,F,2,2,0,2,0,2.0,437.6,473.3,454.4,454.7,280.0,1405,A,420.0
446957,3796705,Taubaté,19.0,F,1,1,1,1,0,,648.8,678.0,646.8,708.6,880.0,2811,D,712.4399999999999
584841,5221125,São Paulo,18.0,M,2,2,0,3,0,4.0,564.6,626.2,540.2,597.0,480.0,5622,E,561.6
137113,1122161,São Paulo,17.0,F,3,2,0,2,0,2.0,411.6,448.7,407.6,506.7,480.0,937,A,450.9200000000001
156654,1276660,Campinas,16.0,F,1,3,0,1,1,,593.5,575.7,596.1,593.6,820.0,20000,D,635.78
58877,460973,Pederneiras,17.0,F,3,2,0,3,0,4.0,546.3,575.1,580.7,505.0,560.0,2811,D,553.4200000000001
396822,3331017,Embu-Guaçu,17.0,M,2,2,0,2,0,2.0,537.0,544.4,540.2,532.3,560.0,3748,A,542.78
494258,4256452,Holambra,19.0,F,1,1,2,1,0,,563.7,544.3,583.2,618.7,580.0,5622,A,577.98
226399,1875357,Poá,16.0,F,1,3,0,1,1,,648.1,670.2,650.7,748.1,720.0,937,A,687.4200000000001
183199,1513285,Itapevi,17.0,F,1,2,0,2,0,2.0,491.8,509.5,490.7,550.9,600.0,937,A,528.58
475427,4040316,Embu das Artes,17.0,F,1,2,0,2,0,2.0,470.9,400.0,523.9,460.0,540.0,1874,A,478.96000000000004
308290,2617654,Taubaté,18.0,M,3,2,0,3,0,4.0,651.9,662.2,553.8,706.3,560.0,7496,D,626.8399999999999
323062,2745160,Igaraçu do Tietê,23.0,M,3,1,4,1,0,,490.8,399.0,432.6,487.6,500.0,2811,A,462.0
606619,5451621,Paranapanema,22.0,F,3,1,5,1,0,,536.8,556.7,531.7,431.6,520.0,3748,A,515.36
287887,2429978,São Paulo,24.0,F,1,1,7,1,0,,511.4,516.5,509.8,373.3,600.0,3748,A,502.2
576756,5134008,Viradouro,17.0,F,1,2,0,2,0,2.0,474.7,535.3,538.2,509.1,520.0,3748,A,515.46
388437,3262793,São Paulo,40.0,F,1,1,11,1,0,,443.8,503.6,512.9,353.8,760.0,1405,A,514.82
355053,2978799,Espírito Santo do Pinhal,16.0,M,1,3,0,1,1,,557.1,646.0,547.9,694.5,540.0,1874,E,597.1
605957,5440824,Santo Antônio do Jardim,24.0,F,1,1,7,1,0,,584.1,381.2,348.0,777.2,580.0,937,A,534.1
615495,5600858,São Paulo,19.0,M,3,2,0,2,0,2.0,454.1,483.6,428.5,406.9,300.0,1405,A,414.62
330144,2800757,São Paulo,22.0,M,1,1,5,1,0,,584.4,534.9,576.7,477.4,620.0,1874,E,558.6800000000001
206581,1722346,São Paulo,17.0,M,1,2,0,3,0,4.0,537.7,368.0,471.2,389.9,560.0,11244,D,465.36
139371,1140328,Araçatuba,17.0,M,3,2,0,2,0,2.0,503.8,479.1,500.4,386.0,480.0,937,A,469.86
293417,2480329,Campinas,17.0,F,1,2,0,3,0,4.0,608.9,645.1,632.8,683.9,680.0,20000,D,650.14
236596,1966325,São Paulo,18.0,M,3,1,1,1,0,,387.4,452.3,461.1,531.7,580.0,937,B,482.5
1220,10134,Caraguatatuba,21.0,M,3,1,3,1,0,,547.3,607.0,558.5,662.9,540.0,2342,A,583.14
186566,1545431,São Bernardo do Campo,18.0,F,1,2,0,3,0,4.0,583.2,597.8,564.1,600.4,740.0,5622,D,617.1
296014,2505065,Barra Bonita,18.0,M,1,1,1,1,0,,628.1,623.3,541.5,631.5,600.0,2342,A,604.88
520350,4512369,Itapevi,27.0,F,3,1,9,1,0,,554.4,614.4,585.7,650.3,520.0,4685,A,584.96
515821,4471382,Santo André,16.0,M,1,3,0,1,1,,608.1,577.1,597.5,381.6,640.0,8433,D,560.86
112068,904177,Presidente Prudente,17.0,M,1,2,0,2,0,2.0,397.7,610.8,544.8,510.1,460.0,1874,A,504.68
508087,4399134,Francisco Morato,18.0,F,3,2,0,2,0,2.0,426.3,525.1,519.3,406.6,520.0,937,A,479.46000000000004
272709,2287707,São Paulo,17.0,M,4,2,0,3,0,4.0,599.6,629.5,569.1,608.6,580.0,5622,D,597.3599999999999
312195,2651171,Franca,16.0,F,1,2,0,2,0,2.0,589.3,605.5,505.1,476.9,880.0,8433,A,611.36
344008,2905111,Campinas,17.0,M,2,2,0,2,0,2.0,453.5,528.2,482.2,411.6,560.0,1874,A,487.1
344793,2910970,Avaré,17.0,F,3,2,0,3,0,4.0,547.2,540.4,568.3,625.7,660.0,3748,D,588.3199999999999
98727,758604,Campinas,19.0,M,2,2,0,2,0,2.0,518.5,551.9,525.6,444.2,620.0,2342,A,532.04
500304,4323195,Sorocaba,17.0,M,2,2,0,3,0,4.0,471.0,625.0,618.0,622.4,580.0,1405,C,583.28
393241,3302796,Santo André,18.0,F,1,1,1,1,0,,568.6,588.8,609.9,604.9,720.0,11244,D,618.44
572711,5089907,Piracicaba,17.0,F,1,2,0,3,0,4.0,524.1,504.8,491.5,458.8,460.0,3748,D,487.84
194901,1617897,Cotia,18.0,F,1,1,1,1,0,,521.2,587.7,591.4,514.2,580.0,5622,D,558.9
144620,1181313,São José dos Campos,15.0,F,1,3,0,1,1,,462.9,580.4,623.5,568.3,700.0,3748,E,587.02
361870,3019098,Itapetininga,24.0,F,1,1,7,1,0,,565.1,591.0,463.8,524.5,540.0,937,A,536.8799999999999
620523,5669554,São Paulo,19.0,F,3,1,1,1,0,,413.7,494.1,543.6,465.6,560.0,937,A,495.4
539137,4708464,Cunha,18.0,M,2,2,0,2,0,2.0,466.7,411.8,454.1,433.2,520.0,1874,A,457.16
375052,3145371,São Paulo,22.0,F,3,1,4,1,0,,517.2,567.0,537.6,538.5,540.0,2811,A,540.0600000000001
10539,88926,Osasco,22.0,F,1,1,5,1,0,,476.1,478.8,342.5,446.6,540.0,937,A,456.8
292228,2469769,São Paulo,21.0,F,1,1,3,1,0,,485.0,482.3,447.8,387.3,500.0,2342,A,460.4799999999999
606263,5446034,São José dos Campos,30.0,M,3,1,11,1,0,,431.5,484.1,503.1,458.6,580.0,937,A,491.46000000000004
313011,2657200,Cubatão,27.0,M,3,1,1,1,0,,453.2,466.0,502.9,485.7,400.0,937,A,461.56000000000006
485538,4168831,Mauá,31.0,M,3,1,11,1,0,,552.9,586.1,544.0,593.3,460.0,1405,A,547.26
12346,104126,Bauru,27.0,F,3,1,9,1,0,,490.2,550.4,493.2,494.9,660.0,1405,A,537.74
634181,5836286,Suzano,17.0,M,1,2,0,2,0,2.0,498.9,386.2,471.9,539.2,520.0,1405,A,483.23999999999995
243700,2039779,São Paulo,17.0,M,3,2,0,2,0,2.0,537.8,601.7,547.1,675.1,680.0,6599,A,608.3399999999999
85183,654539,São Paulo,23.0,F,3,1,6,1,0,,389.0,454.8,541.8,470.8,440.0,1874,A,459.2799999999999
558949,4939029,São Paulo,19.0,M,1,2,0,3,0,4.0,426.3,455.5,433.3,506.8,420.0,9370,C,448.37999999999994
573934,5103297,Taboão da Serra,34.0,F,3,1,11,1,0,,460.8,423.5,518.3,544.0,420.0,1405,A,473.32
110599,888938,São Paulo,17.0,F,1,2,0,2,0,2.0,403.6,467.9,489.0,443.7,560.0,1405,A,472.84
639736,5910265,Guaratinguetá,18.0,F,3,2,0,2,0,2.0,392.6,413.8,399.2,545.6,500.0,1405,A,450.24000000000007
152280,1242486,Ferraz de Vasconcelos,18.0,F,3,1,1,1,0,,593.1,624.2,580.7,642.3,540.0,3748,B,596.0600000000001
6370,53431,Santo André,23.0,F,1,1,5,1,0,,465.6,454.9,503.3,426.0,580.0,1405,A,485.96000000000004
173465,1407933,São Paulo,31.0,M,3,1,11,1,0,,408.8,587.5,589.2,607.2,680.0,2342,A,574.54
198720,1653352,Biritiba-Mirim,17.0,F,3,2,0,2,0,2.0,484.1,406.7,487.6,444.2,400.0,1405,A,444.5200000000001
134848,1102142,Cosmópolis,18.0,M,3,2,0,2,0,2.0,573.6,546.9,517.3,581.8,640.0,2811,A,571.92
511914,4435683,Lins,17.0,F,1,2,0,2,0,2.0,556.9,458.0,475.6,472.7,400.0,8433,A,472.64
616895,5620932,Jaú,18.0,M,0,2,0,3,0,4.0,553.8,614.6,514.3,623.0,520.0,1874,B,565.14
531163,4602656,Guarujá,21.0,F,2,1,3,1,0,,577.1,588.2,565.1,520.8,600.0,937,A,570.24
336797,2853408,São Paulo,18.0,F,2,1,1,1,0,,407.6,432.8,526.0,610.3,600.0,1405,A,515.3399999999999
659807,6185695,Cotia,17.0,F,0,2,0,2,0,2.0,408.8,558.2,418.5,456.6,580.0,2342,A,484.41999999999996
498261,4301051,São José dos Campos,19.0,M,3,1,1,1,0,,420.0,379.0,540.9,498.0,680.0,3748,A,503.58000000000004
344577,2909332,Ribeirão Preto,17.0,M,2,2,0,2,0,2.0,404.8,439.9,515.2,593.9,580.0,1874,A,506.76000000000005
652640,6090411,São Paulo,16.0,F,1,3,0,1,1,,525.1,586.3,527.4,511.4,600.0,2811,E,550.0400000000001
569744,5058387,Assis,18.0,F,4,2,0,2,0,2.0,601.6,613.0,576.3,493.1,600.0,1874,A,576.8
241474,2019020,São Paulo,17.0,F,1,2,0,3,0,4.0,622.7,571.5,572.3,739.9,580.0,9370,D,617.28
172077,1397148,Taboão da Serra,24.0,F,1,1,5,1,0,,541.2,576.2,550.8,561.2,520.0,0,A,549.88
394699,3314196,Sertãozinho,20.0,F,3,1,2,1,0,,541.3,532.5,530.6,541.3,560.0,2342,A,541.14
512603,4441963,Itapeva,17.0,F,3,2,0,2,0,2.0,433.6,479.6,521.9,439.6,580.0,1874,A,490.93999999999994
266473,2238596,Andradina,17.0,F,1,2,0,2,0,2.0,437.7,438.9,482.1,532.5,440.0,1405,A,466.23999999999995
425303,3584037,São Paulo,27.0,M,2,1,4,1,0,,509.4,606.4,462.7,447.2,460.0,1405,A,497.14
475994,4046544,Santos,17.0,M,1,2,0,3,0,4.0,647.6,642.5,629.3,674.5,420.0,5622,D,602.78
103862,810650,São Paulo,17.0,M,1,2,0,2,0,2.0,577.1,583.2,613.9,644.0,680.0,4685,A,619.6400000000001
366175,3050624,Mogi das Cruzes,17.0,M,1,2,0,3,0,4.0,629.0,642.5,592.9,728.2,480.0,20000,D,614.5200000000001
258116,2170126,Jacareí,19.0,M,0,1,2,1,0,,605.0,574.1,552.1,698.3,560.0,4685,A,597.9
193678,1607193,São Bernardo do Campo,17.0,F,3,2,0,2,0,2.0,558.3,547.1,549.0,566.7,560.0,3748,A,556.22
352237,2961916,São Paulo,18.0,F,1,2,0,2,0,2.0,393.7,445.3,560.4,545.0,680.0,4685,A,524.88
201420,1678830,Carapicuíba,18.0,F,1,1,1,1,0,,632.8,620.1,584.2,573.5,760.0,7496,E,634.1200000000001
418263,3501379,São Paulo,23.0,F,1,1,2,1,0,,481.6,493.4,534.1,372.8,500.0,1405,A,476.37999999999994
631029,5796638,São Paulo,20.0,M,1,1,2,1,0,,507.2,491.7,491.1,708.1,580.0,2342,A,555.62
295445,2499788,Olímpia,19.0,F,1,1,1,1,0,,602.1,572.5,588.5,591.9,600.0,1874,D,591.0
517878,4490383,Osasco,21.0,F,1,1,3,1,0,,506.2,561.8,415.2,482.5,520.0,2811,A,497.14
177227,1443577,Limeira,17.0,F,2,2,0,2,0,2.0,540.8,499.4,322.8,530.7,400.0,937,A,458.73999999999995
365016,3040489,São Paulo,18.0,F,1,2,0,2,0,2.0,442.3,401.2,457.5,428.7,520.0,1405,A,449.93999999999994
372467,3121394,Jaú,43.0,F,1,1,11,1,0,,562.0,552.0,522.2,477.0,600.0,7496,D,542.64
354835,2977393,Santo André,17.0,F,1,2,0,2,0,2.0,567.7,609.1,578.8,429.6,620.0,3748,A,561.0400000000001
571541,5077311,São Paulo,18.0,M,1,2,0,2,0,2.0,562.4,602.4,507.2,593.4,520.0,5622,A,557.08
241539,2019660,São Paulo,21.0,M,1,1,4,1,0,,745.8,752.8,666.0,821.5,780.0,18740,A,753.22
627656,5755427,Santos,17.0,F,0,2,0,3,0,4.0,463.0,535.9,520.8,426.1,520.0,9370,D,493.15999999999997
627651,5755379,Ourinhos,15.0,M,1,3,0,1,1,,598.6,587.4,545.4,733.2,780.0,11244,D,648.9200000000001
141433,1156441,São Paulo,22.0,F,2,1,5,1,0,,519.8,449.3,567.7,608.8,560.0,2811,A,541.12
624631,5718499,Santo André,20.0,F,1,1,3,1,0,,514.4,459.6,470.3,612.4,540.0,1874,A,519.3399999999999
293634,2482240,Sorocaba,17.0,M,3,3,0,1,1,,507.0,521.5,468.3,421.7,520.0,11244,D,487.7
505819,4377320,Mogi das Cruzes,18.0,F,3,1,1,1,0,,509.8,513.3,563.6,559.5,540.0,1405,A,537.24
436542,3698529,Campinas,17.0,M,1,2,0,3,0,4.0,645.0,616.7,637.0,768.9,520.0,3748,E,637.52
282933,2375995,São Paulo,18.0,M,1,1,1,1,0,,595.1,665.9,612.9,785.6,680.0,3748,B,667.9
603868,5413764,Barretos,24.0,F,1,1,7,1,0,,445.8,487.1,553.5,433.5,500.0,1874,A,483.98
87657,673221,São José dos Campos,17.0,F,1,2,0,2,0,2.0,590.1,488.4,516.1,606.7,660.0,2811,A,572.26
607025,5459287,Rio das Pedras,23.0,F,1,1,6,1,0,,509.9,592.6,603.6,712.0,680.0,1874,A,619.62
8664,73341,Vista Alegre do Alto,18.0,F,1,1,1,1,0,,615.5,591.6,587.4,640.0,700.0,1405,E,626.9
167892,1361988,São Paulo,17.0,M,1,2,0,3,0,4.0,409.5,602.1,613.0,483.1,500.0,3748,E,521.54
405844,3404063,Ourinhos,16.0,F,1,3,0,1,1,,553.2,550.6,590.3,643.5,640.0,7496,D,595.5200000000001
615515,5601218,Diadema,21.0,M,3,1,4,1,0,,642.1,503.9,589.6,511.3,520.0,3748,A,553.38
239525,2000091,Santana de Parnaíba,19.0,F,1,1,1,1,0,,502.8,411.7,584.2,410.4,580.0,1405,A,497.82
503321,4353588,São Paulo,20.0,M,3,2,0,2,0,2.0,441.5,402.4,481.0,591.8,280.0,1405,A,439.34
406131,3406229,Monte Alto,24.0,F,1,1,7,1,0,,477.7,439.5,461.0,520.8,580.0,1405,A,495.8
578602,5155042,Lavínia,21.0,F,1,2,0,2,0,2.0,382.9,389.7,495.9,430.3,520.0,1405,A,443.76000000000005
267464,2246726,Itu,18.0,M,1,2,0,2,0,2.0,510.0,495.1,510.8,459.8,540.0,3748,A,503.14
18131,153544,Botucatu,19.0,M,2,1,1,1,0,,481.2,553.0,531.5,626.6,640.0,1405,E,566.46
672892,6377252,Embu das Artes,19.0,F,4,1,2,1,0,,466.8,363.1,410.8,383.1,500.0,1874,A,424.76000000000005
411875,3450657,Campinas,26.0,M,1,1,8,1,0,,470.2,487.6,522.5,567.6,600.0,1405,A,529.58
451478,3836903,Cosmópolis,18.0,M,1,2,0,3,0,4.0,439.7,505.6,465.5,537.9,480.0,6599,B,485.73999999999995
468120,3979062,Palmital,17.0,M,1,2,0,3,0,4.0,578.9,554.4,567.9,570.0,440.0,2342,D,542.24
301746,2559293,São Paulo,17.0,F,3,2,0,2,0,2.0,484.4,495.1,514.8,524.2,580.0,3748,A,519.7
42185,339720,São Paulo,18.0,F,1,1,1,1,0,,727.6,688.5,676.7,873.1,840.0,8433,E,761.1800000000001
194357,1613197,São Paulo,17.0,F,1,2,0,2,0,2.0,392.6,436.1,492.5,408.6,540.0,1405,A,453.96000000000004
658324,6166502,Santo André,19.0,M,3,1,2,1,0,,585.0,625.3,582.8,711.9,520.0,1874,A,605.0
438144,3712909,São João da Boa Vista,49.0,F,3,1,11,1,0,,569.1,555.3,515.3,409.2,620.0,3748,A,533.78
536366,4665854,Guaiçara,17.0,M,1,2,0,3,0,4.0,487.6,521.7,422.2,606.4,620.0,1405,C,531.58
85115,653999,Itanhaém,17.0,F,1,2,0,2,0,2.0,542.5,447.5,537.6,516.9,440.0,2342,A,496.9
641796,5939499,Franca,20.0,M,1,1,2,1,0,,589.9,613.6,587.4,576.1,720.0,2811,A,617.4
169543,1376318,Taubaté,15.0,F,1,3,0,1,1,,555.0,579.9,600.1,729.7,580.0,4685,D,608.9399999999999
643593,5965189,Hortolândia,24.0,F,1,1,6,1,0,,505.5,468.3,479.6,448.9,320.0,937,A,444.46000000000004
420428,3519817,Piracicaba,17.0,F,1,2,0,2,0,2.0,586.5,491.4,544.3,444.6,480.0,3748,B,509.36
377836,3169518,Redenção da Serra,18.0,F,1,1,1,1,0,,471.3,499.7,534.5,462.8,440.0,937,A,481.66
363624,3030291,Paulínia,26.0,F,3,1,9,1,0,,527.4,629.4,626.0,579.0,540.0,2342,B,580.36
654166,6110788,São Vicente,19.0,M,3,1,2,1,0,,479.8,557.3,496.4,614.2,360.0,937,A,501.53999999999996
153329,1250915,Riversul,26.0,F,1,1,8,1,0,,581.5,560.8,538.0,560.6,520.0,937,A,552.1800000000001
635624,5855074,Ibitinga,17.0,M,1,2,0,2,0,2.0,482.2,417.1,509.8,427.4,500.0,3748,A,467.3
514141,4456064,Guapiaçu,19.0,F,3,2,0,2,0,2.0,409.6,447.2,426.0,369.0,380.0,937,A,406.36
502561,4345895,Itaquaquecetuba,22.0,M,3,1,5,1,0,,466.3,430.7,472.6,419.2,520.0,1405,A,461.76000000000005
584833,5221068,Praia Grande,16.0,F,1,3,0,1,1,,623.6,574.8,607.4,473.6,600.0,9370,D,575.88
211355,1761056,Leme,25.0,M,1,4,0,1,0,,547.6,604.8,507.1,541.8,540.0,2811,A,548.26
570812,5069444,Orindiúva,18.0,F,3,2,0,2,0,2.0,436.7,490.0,371.4,446.7,300.0,2342,A,408.96
509494,4412237,Ferraz de Vasconcelos,24.0,F,1,1,6,1,0,,441.3,383.3,434.3,508.2,440.0,1874,A,441.4200000000001
200423,1668985,Guarulhos,17.0,F,1,3,0,1,1,,661.3,685.9,655.8,692.3,700.0,5622,E,679.06
456023,3877278,Guarulhos,19.0,M,3,1,2,1,0,,444.3,335.8,503.5,604.7,580.0,1405,A,493.66
404774,3395424,São Bernardo do Campo,17.0,F,1,2,0,3,0,4.0,398.5,488.3,462.5,550.9,560.0,18740,D,492.03999999999996
84308,647761,Jundiaí,17.0,F,1,2,0,2,0,2.0,610.6,624.1,565.4,427.1,580.0,5622,A,561.4399999999999
152827,1246943,Guarulhos,25.0,M,0,1,8,1,0,,450.0,500.2,595.0,683.3,620.0,2342,A,569.7
529582,4590706,Hortolândia,16.0,F,1,3,0,1,1,,447.0,523.2,470.2,446.3,580.0,3748,A,493.34
579911,5168693,Guaratinguetá,17.0,F,1,3,0,1,1,,477.7,463.4,502.0,522.6,580.0,4685,D,509.14
262076,2201921,Dracena,17.0,F,1,2,0,2,0,2.0,468.4,574.3,564.7,546.8,680.0,2342,A,566.8399999999999
376242,3155865,Carapicuíba,18.0,F,4,1,1,1,0,,578.5,562.2,563.6,602.8,560.0,14055,D,573.4200000000001
500248,4322629,Carapicuíba,25.0,M,3,1,5,1,0,,501.7,349.8,411.3,360.8,400.0,3748,A,404.71999999999997
337299,2857684,Osasco,17.0,F,1,3,0,1,1,,565.6,610.8,587.9,558.5,740.0,9370,D,612.5600000000001
44269,356343,Praia Grande,18.0,M,3,2,0,2,0,2.0,516.7,555.8,505.6,528.8,560.0,2342,A,533.3799999999999
480703,4112723,Vargem Grande do Sul,18.0,M,1,1,1,1,0,,381.6,416.6,504.5,616.8,660.0,1874,A,515.9
312516,2653566,Taboão da Serra,19.0,F,2,1,2,1,0,,561.8,628.4,610.8,719.4,600.0,5622,A,624.0799999999999
18465,156248,São José dos Campos,17.0,F,3,2,0,3,0,4.0,649.3,628.2,621.8,795.3,820.0,1405,E,702.92
120675,981606,Indaiatuba,17.0,M,1,2,0,2,0,2.0,558.3,628.8,522.6,631.5,500.0,2811,A,568.24
617078,5623619,Tatuí,20.0,M,1,1,2,1,0,,523.1,593.1,591.9,588.3,440.0,3748,A,547.28
436368,3696918,São Miguel Arcanjo,19.0,M,1,1,2,1,0,,456.6,501.9,494.5,655.0,480.0,1405,A,517.6
281069,2356521,Itapevi,35.0,F,0,2,0,2,0,2.0,452.7,490.6,495.9,471.7,440.0,1405,A,470.17999999999995
374944,3144394,São Paulo,19.0,M,3,1,2,1,0,,479.0,513.5,491.0,399.7,520.0,937,A,480.64
227961,1887775,São Paulo,25.0,M,1,1,8,1,0,,763.9,817.0,641.6,839.5,920.0,5622,D,796.4
112206,905500,Pederneiras,18.0,F,1,1,1,1,0,,412.9,361.8,508.6,506.1,440.0,2342,A,445.88
398393,3343452,São José dos Campos,36.0,M,1,1,11,1,0,,482.6,609.2,614.1,736.3,700.0,1405,A,628.4399999999999
618574,5643930,São Paulo,26.0,F,3,1,8,1,0,,486.8,445.5,487.1,528.0,540.0,2811,A,497.48
115507,936954,Santa Rita do Passa Quatro,24.0,M,1,1,7,1,0,,426.9,529.7,540.3,465.1,500.0,1874,A,492.4
178123,1454248,Itatiba,18.0,M,1,2,0,2,0,2.0,609.8,608.6,566.5,692.1,520.0,5622,A,599.4
592360,5299410,São Paulo,22.0,M,1,1,3,1,0,,572.2,614.9,556.9,619.3,480.0,1405,A,568.6600000000001
160852,1309286,Mauá,17.0,F,1,2,0,2,0,2.0,544.0,451.0,546.1,490.8,580.0,4685,A,522.3799999999999
